name,entry_name,transmembrane,secretion,peripheral,integrin_interaction,secreted_highlight,secreted_desc,transporter,other,other_desc,tags,tags_description,tags_reason
O00144,FZD9_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Extracellular_add
O00155,GPR25_HUMAN,True,False,False,False,False,,False,False,,,,
O00292,LFTY2_HUMAN,False,True,False,False,True,Growthfactor | Cytokine,False,False,,,,
O00300,TR11B_HUMAN,False,True,False,False,False,,False,False,,,,
O00421,CCRL2_HUMAN,True,False,False,False,False,,False,False,,,,
O00548,DLL1_HUMAN,True,False,False,False,False,,False,False,,,,
O00574,CXCR6_HUMAN,True,False,False,False,False,,False,False,,,,
O00590,ACKR2_HUMAN,True,False,False,False,False,,False,False,,,,
O14786,NRP1_HUMAN,True,True,False,False,True,Growthfactor,False,False,,,,
O14798,TR10C_HUMAN,True,False,False,False,False,,False,False,,,,
O14931,NCTR3_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Extracellular_add
O15031,PLXB2_HUMAN,True,False,False,False,False,,False,False,,,,
O15041,SEM3E_HUMAN,False,True,False,False,False,,False,False,,,,
O15354,GPR37_HUMAN,True,False,False,False,False,,False,False,,,,
O43193,MTLR_HUMAN,True,False,False,False,False,,False,False,,,,
O43603,GALR2_HUMAN,True,False,False,False,False,,False,False,,,,
O43613,OX1R_HUMAN,True,False,False,False,False,,False,False,,,,
O43614,OX2R_HUMAN,True,False,False,False,False,,False,False,,,,
O60353,FZD6_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Extracellular_add
O60755,GALR3_HUMAN,True,False,False,False,False,,False,False,,,,
O60883,ETBR2_HUMAN,True,False,False,False,False,,False,False,,,,
O75084,FZD7_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Extracellular_add
O75473,LGR5_HUMAN,True,False,False,False,False,,False,False,,,,
O75610,LFTY1_HUMAN,False,True,False,False,True,Growthfactor | Cytokine,False,False,,,,
O95407,TNF6B_HUMAN,False,True,False,False,False,,False,False,,,,
O95750,FGF19_HUMAN,False,True,False,False,True,Growthfactor,False,False,,,,
O95800,GPR75_HUMAN,True,False,False,False,False,,False,False,,,,
O95838,GLP2R_HUMAN,True,False,False,False,False,,False,False,,,,
O95971,BY55_HUMAN,True,False,False,False,False,,False,False,,,,
P00742,FA10_HUMAN,False,True,False,False,False,,False,False,,,,
P00747,PLMN_HUMAN,False,True,False,False,False,,False,False,,,,
P02766,TTHY_HUMAN,False,True,False,False,True,Hormone,False,False,,,,
P02768,ALBU_HUMAN,False,True,False,False,False,,False,False,,,,
P04155,TFF1_HUMAN,False,True,False,False,True,Growthfactor,False,False,,,,
P04216,THY1_HUMAN,True,False,False,False,False,,False,False,,,,
