"","Evo_Type","Gene_Class","Conserved_Num","Human_Spec_Num","Mouse_Spec_Num"
"KIAA1841","0","Other","1","0","0"
"C17orf49","1","Other","0","0","25"
"C2orf68","2","Other","4","26","0"
"C4orf19","2","Other","2","2","4"
"C11orf58","0","Other","31","0","0"
"C9orf16","2","Other","19","9","2"
"C9orf24","0","Other","1","0","0"
"C11orf1","2","Other","1","2","3"
"C3orf80",NA,"Other","0","0","0"
"C8orf33","2","Other","4","6","13"
"C11orf49","2","Other","6","4","1"
"C9orf85","3","Other","0","1","7"
"KIAA1143","1","Other","0","0","6"
"C16orf74","3","Other","0","1","2"
"C12orf73","1","Other","0","1","0"
"C6orf120","3","Other","0","1","5"
"C19orf12","2","Other","1","5","5"
"C5orf49","0","Other","1","0","0"
"C9orf50",NA,"Other","0","0","0"
"C17orf98",NA,"Other","0","0","0"
"C2orf81","0","Other","1","0","0"
"C9orf116","0","Other","1","0","0"
"C19orf81",NA,"Other","0","0","0"
"C6orf118","1","Other","0","1","0"
"C4orf51",NA,"Other","0","0","0"
"C11orf97","0","Other","1","0","0"
"C1orf158","1","Other","0","1","0"
"C1orf194","0","Ligand","1","0","0"
"C1orf100",NA,"Other","0","0","0"
"C4orf36",NA,"Other","0","0","0"
"C17orf97","1","Other","0","0","1"
"C15orf39","2","Other","3","3","1"
"C12orf50",NA,"Other","0","0","0"
"C16orf95",NA,"Other","0","0","0"
"C2orf88",NA,"Other","0","0","0"
"C10orf82",NA,"Other","0","0","0"
"C20orf141",NA,"Other","0","0","0"
"C17orf50",NA,"Other","0","0","0"
"C20orf85","1","Other","0","1","0"
"C9orf131",NA,"Other","0","0","0"
"C10orf53","1","Other","0","0","1"
"C1orf21","2","Other","2","8","2"
"C1orf146",NA,"Other","0","0","0"
"C9orf135","2","Other","1","1","0"
"C11orf94",NA,"Other","0","0","0"
"C4orf47","0","Other","1","0","0"
"C16orf46","1","Other","0","0","1"
"C19orf44",NA,"Other","0","0","0"
"C12orf71",NA,"Other","0","0","0"
"C16orf90","1","Other","0","0","1"
"C20orf27","3","Other","0","2","3"
"C2orf69","1","Other","0","1","0"
"C19orf67",NA,"Other","0","0","0"
"C22orf23","0","Other","1","0","0"
"C2orf74",NA,"Other","0","0","0"
"C1orf189","1","Other","0","0","1"
"C3orf62","1","Other","0","2","0"
"C12orf42",NA,"Other","0","0","0"
"C14orf119","2","Other","9","15","5"
"C17orf64",NA,"Other","0","0","0"
"C11orf98","1","Other","0","0","19"
"C17orf58","1","Other","0","0","5"
"C16orf72","2","Other","6","2","11"
"CXorf38","3","Other","0","7","3"
"C11orf53",NA,"Other","0","0","0"
"C11orf24","2","Other","3","7","2"
"C11orf86",NA,"Other","0","0","0"
"C9orf64","1","Other","0","0","17"
"C12orf43","1","Other","0","0","7"
"KIAA0825","0","Other","1","0","0"
"C6orf15",NA,"Ligand","0","0","0"
"C15orf61","3","Other","0","9","7"
"C1orf53",NA,"Other","0","0","0"
"C19orf25","2","Other","2","3","5"
"C19orf47","1","Other","0","0","1"
"C1orf198","2","Other","4","4","3"
"C11orf52","1","Other","0","0","5"
"C1orf35","2","Other","1","7","6"
"C1orf68",NA,"Other","0","0","0"
"C10orf88",NA,"Other","0","0","0"
"C6orf136",NA,"Other","0","0","0"
"C1orf52","1","Other","0","10","0"
"C2orf50","0","Other","1","0","0"
"C12orf49","1","Other","0","10","0"
"C3orf70","3","Other","0","2","3"
"KIAA2013","2","Other","6","7","4"
"C8orf37","1","Other","0","0","1"
"KIAA0100","2","Other","3","2","6"
"C1orf210","3","Other","0","2","2"
"KIAA0586","1","Other","0","2","0"
"C18orf21","3","Other","0","2","2"
"C11orf95",NA,"Other","0","0","0"
"C1orf131","3","Other","0","3","5"
"C12orf65","1","Other","0","15","0"
"C2orf72",NA,"Other","0","0","0"
"C19orf18",NA,"Other","0","0","0"
"C2orf76","1","Other","0","0","2"
"C15orf40","3","Other","0","6","1"
"C7orf50","2","Other","1","23","1"
"C10orf71",NA,"Other","0","0","0"
"C3orf14","2","Other","1","1","8"
"C5orf34","1","Other","0","0","9"
"C11orf88","0","Other","1","0","0"
"KIAA1191","2","Other","13","1","11"
"C7orf31",NA,"Other","0","0","0"
"C16orf87","2","Other","1","6","0"
"C5orf52",NA,"Other","0","0","0"
"C20orf194","2","Other","3","7","3"
"C19orf71","1","Other","0","0","1"
"C12orf29","1","Other","0","1","0"
"C19orf57",NA,"Other","0","0","0"
"C8orf89","1","Other","0","0","1"
"C14orf39",NA,"Other","0","0","0"
"C16orf92",NA,"Other","0","0","0"
"C3orf38","3","Other","0","1","6"
"C18orf54",NA,"Other","0","0","0"
"C2orf73","1","Other","0","1","0"
"C1orf185",NA,"Other","0","0","0"
"KIAA0040","2","Other","11","1","16"
"C5orf47",NA,"Other","0","0","0"
"C17orf107",NA,"Other","0","0","0"
"C11orf65",NA,"Other","0","0","0"
"C1orf105",NA,"Other","0","0","0"
"C16orf96","1","Other","0","0","1"
"C17orf100",NA,"Other","0","0","0"
"C8orf74",NA,"Other","0","0","0"
"C4orf17",NA,"Other","0","0","0"
"C4orf46",NA,"Other","0","0","0"
"C3orf20",NA,"Other","0","0","0"
"C11orf54","3","Other","0","2","2"
"KIAA0355","1","Other","0","0","11"
"C14orf93",NA,"Other","0","0","0"
"KIAA0895L",NA,"Other","0","0","0"
"KIAA1109","2","Other","18","9","4"
"C21orf62","1","Other","0","0","1"
"C16orf78",NA,"Other","0","0","0"
"C10orf120",NA,"Other","0","0","0"
"C16orf86",NA,"Other","0","0","0"
"C10orf62",NA,"Other","0","0","0"
"C6orf201",NA,"Other","0","0","0"
"KIAA0753",NA,"Other","0","0","0"
"C9orf43",NA,"Other","0","0","0"
"C1orf43","2","Other","29","1","0"
"KIAA0930","2","Other","3","2","1"
"KIAA1324","2","Other","5","2","1"
"CXorf21","2","Other","1","1","0"
"C1orf216",NA,"Other","0","0","0"
"C17orf75","1","Other","0","2","0"
"C5orf22","1","Other","0","1","0"
"C17orf99",NA,"Other","0","0","0"
"KIAA0513","2","Other","3","1","3"
"C20orf173",NA,"Other","0","0","0"
"C3orf18",NA,"Other","0","0","0"
"C20orf96","2","Other","1","1","0"
"C18orf25","1","Other","0","1","0"
"C6orf141","1","Other","0","1","0"
"C8orf76","1","Other","0","0","4"
"KIAA0408",NA,"Other","0","0","0"
"KIAA1324L","3","Other","0","2","1"
"C1orf159",NA,"Other","0","0","0"
"C5orf15","2","Other","8","1","16"
"KIAA0895",NA,"Other","0","0","0"
"C8orf58",NA,"Other","0","0","0"
"KIAA2026","2","Other","3","19","1"
"C1orf109","1","Other","0","0","2"
"C1orf74","1","Other","0","0","1"
"A1BG",NA,"Other","0","0","0"
"A1CF",NA,"Other","0","0","0"
"A2M","1","Ligand","0","16","0"
"A3GALT2",NA,"Other","0","0","0"
"C1orf174","2","Other","3","12","3"
"A4GALT","2","Other","3","2","3"
"A4GNT",NA,"Other","0","0","0"
"C14orf180",NA,"Other","0","0","0"
"C8orf34","0","Other","1","0","0"
"C11orf91",NA,"Other","0","0","0"
"C15orf48","1","Other","0","2","0"
"C1orf116","2","Other","5","1","1"
"C19orf38","2","Other","3","6","0"
"C8orf48",NA,"Other","0","0","0"
"C16orf54","2","Other","12","1","1"
"C11orf87",NA,"Other","0","0","0"
"C2orf49",NA,"Other","0","0","0"
"C11orf68","2","Other","3","1","13"
"C16orf89","2","Other","4","3","3"
"C1orf50",NA,"Other","0","0","0"
"KIAA0319L","2","Other","1","18","1"
"C7orf25","1","Other","0","0","1"
"C5orf51","3","Other","0","1","4"
"KIAA1328","1","Other","0","0","1"
"AAAS","1","Other","0","0","1"
"AACS","1","Enzyme","0","1","0"
"AADAC","1","Other","0","3","0"
"AADACL2",NA,"Other","0","0","0"
"AADACL3",NA,"Other","0","0","0"
"AADAT",NA,"Enzyme","0","0","0"
"AAGAB","3","Other","0","4","4"
"AAK1","2","Enzyme","8","19","0"
"AAMP","2","Other","29","1","2"
"AANAT",NA,"Ligand","0","0","0"
"AARD","3","Other","0","2","2"
"AARS2","1","Other","0","0","1"
"AARSD1","1","Other","0","0","4"
"AASDH",NA,"Other","0","0","0"
"AASDHPPT","3","Other","0","1","2"
"AASS","1","Enzyme","0","3","0"
"AATF","1","Other","0","0","1"
"AATK",NA,"Receptor","0","0","0"
"ABAT","0","Other","1","0","0"
"ABCA1","2","Receptor","2","7","3"
"ABCA12",NA,"Receptor","0","0","0"
"ABCA13","1","Receptor","0","1","0"
"ABCA2","3","Receptor","0","4","2"
"ABCA3","2","Receptor","2","6","0"
"ABCA4",NA,"Receptor","0","0","0"
"ABCA5","3","Receptor","0","4","1"
"ABCA6","1","Receptor","0","2","0"
"ABCA7","2","Receptor","4","4","0"
"ABCA8","2","Receptor","1","2","1"
"ABCA9","2","Receptor","1","1","1"
"ABCB10","1","Receptor","0","0","1"
"ABCB11",NA,"Receptor","0","0","0"
"ABCB1","2","Receptor","2","4","0"
"ABCB4","1","Receptor","0","1","0"
"ABCB5",NA,"Receptor","0","0","0"
"ABCB6",NA,"Receptor","0","0","0"
"ABCB7",NA,"Receptor","0","0","0"
"ABCB8","1","Receptor","0","3","0"
"ABCB9","1","Receptor","0","1","0"
"ABCC1","1","Receptor","0","0","6"
"ABCC10",NA,"Receptor","0","0","0"
"ABCC12",NA,"Receptor","0","0","0"
"ABCC2",NA,"Receptor","0","0","0"
"ABCC3","2","Receptor","1","3","3"
"ABCC4","3","Receptor","0","9","1"
"ABCC5","2","Receptor","1","2","16"
"ABCC6",NA,"Receptor","0","0","0"
"ABCC8","1","Receptor","0","0","1"
"ABCC9","2","Receptor","1","3","3"
"ABCD1","1","Receptor","0","0","2"
"ABCD2","1","Receptor","0","0","3"
"ABCD3","2","Receptor","3","5","0"
"ABCD4","1","Other","0","5","0"
"ABCE1","2","Other","2","5","8"
"ABCF1","1","Other","0","0","28"
"ABCF2","2","Other","1","1","6"
"ABCF3","2","Other","1","1","1"
"ABCG1","2","Receptor","5","13","0"
"ABCG2","1","Receptor","0","0","4"
"ABCG4",NA,"Receptor","0","0","0"
"ABCG5",NA,"Receptor","0","0","0"
"ABCG8",NA,"Receptor","0","0","0"
"ABHD10","1","Other","0","0","2"
"ABHD11","2","Other","2","3","5"
"ABHD12","2","Other","4","9","7"
"ABHD12B",NA,"Other","0","0","0"
"ABHD13","2","Other","1","1","1"
"ABHD14A","2","Other","3","9","1"
"ABHD14B","2","Other","6","11","5"
"ABHD15","2","Other","1","1","0"
"ABHD16A","1","Other","0","0","24"
"ABHD16B",NA,"Other","0","0","0"
"ABHD2","2","Enzyme","3","19","0"
"ABHD3","3","Enzyme","0","5","2"
"ABHD4","1","Other","0","0","12"
"ABHD5","2","Enzyme","3","6","5"
"ABHD6","3","Enzyme","0","2","2"
"ABHD8","3","Other","0","1","7"
"ABI1","2","Other","24","1","7"
"ABI2","2","Other","2","14","0"
"ABI3","2","Other","5","2","7"
"ABL1","2","Enzyme","2","3","1"
"ABL2","2","Enzyme","1","4","0"
"ABLIM1","2","Other","14","4","7"
"ABLIM2","3","Other","0","1","1"
"ABLIM3","2","Other","1","2","0"
"ABO","1","Other","0","2","0"
"ABR","1","Other","0","0","10"
"ABRA","1","Other","0","0","2"
"ABT1","2","Other","2","14","0"
"ABTB1","2","Other","4","10","2"
"ABTB2","1","Other","0","0","1"
"ACAA1","2","Other","12","20","0"
"ACAA2","2","Other","17","1","11"
"ACACA","1","Enzyme","0","0","4"
"ACACB","1","Enzyme","0","4","0"
"ACAD10",NA,"Other","0","0","0"
"ACAD11","1","Other","0","0","2"
"ACAD8","2","Other","1","1","0"
"ACAD9","1","Other","0","2","0"
"ACADL","2","Enzyme","2","27","0"
"ACADM","2","Enzyme","11","3","11"
"ACADS","1","Enzyme","0","2","0"
"ACADSB","2","Other","2","8","0"
"ACADVL","2","Other","24","8","0"
"ACAP1","2","Other","9","3","0"
"ACAP2","2","Other","15","13","0"
"ACAP3","1","Other","0","2","0"
"ACAT1","2","Other","22","8","0"
"ACBD3","2","Other","14","7","5"
"ACBD4","0","Other","1","0","0"
"ACBD5","2","Other","1","5","0"
"ACBD6","2","Other","5","4","11"
"ACBD7",NA,"Other","0","0","0"
"ACCS",NA,"Other","0","0","0"
"ACCSL",NA,"Other","0","0","0"
"ACD","2","Other","1","2","5"
"ACE","2","Ligand","3","4","0"
"ACE2","1","Enzyme","0","0","1"
"ACER1",NA,"Enzyme","0","0","0"
"ACER2","1","Enzyme","0","0","4"
"ACER3","2","Other","3","4","6"
"ACHE",NA,"Other","0","0","0"
"ACIN1","2","Other","30","2","0"
"ACLY","2","Enzyme","14","3","8"
"ACMSD",NA,"Enzyme","0","0","0"
"ACO1","3","Other","0","1","7"
"ACO2","2","Other","12","1","16"
"ACOT11","1","Other","0","1","0"
"ACOT12",NA,"Other","0","0","0"
"ACOT13","2","Other","4","2","8"
"ACOT2","2","Enzyme","2","3","18"
"ACOT1","1","Enzyme","0","2","0"
"ACOT4",NA,"Enzyme","0","0","0"
"ACOT7","2","Other","1","1","12"
"ACOT8","2","Enzyme","1","1","4"
"ACOX1","2","Enzyme","10","8","1"
"ACOX2","1","Enzyme","0","0","1"
"ACOX3","2","Enzyme","1","4","0"
"ACOXL","0","Other","2","0","0"
"ACP1","2","Other","22","8","1"
"ACP2","3","Other","0","2","8"
"ACP6",NA,"Other","0","0","0"
"ACR",NA,"Other","0","0","0"
"ACRBP",NA,"Other","0","0","0"
"ACRV1",NA,"Other","0","0","0"
"ACSBG1",NA,"Other","0","0","0"
"ACSBG2",NA,"Other","0","0","0"
"ACSF2","3","Other","0","2","3"
"ACSF3","1","Other","0","9","0"
"ACSL1","2","Enzyme","1","6","4"
"ACSL3","2","Enzyme","3","20","0"
"ACSL4","2","Enzyme","10","2","15"
"ACSL5","2","Enzyme","12","13","0"
"ACSL6",NA,"Enzyme","0","0","0"
"ACSM1","1","Enzyme","0","0","2"
"ACSM2A",NA,"Other","0","0","0"
"ACSM3",NA,"Enzyme","0","0","0"
"ACSM4",NA,"Enzyme","0","0","0"
"ACSM5",NA,"Enzyme","0","0","0"
"ACSS1","2","Other","1","1","10"
"ACSS2","2","Other","2","2","1"
"ACSS3",NA,"Enzyme","0","0","0"
"ACTA1","1","Other","0","0","2"
"ACTA2","2","Other","3","4","1"
"ACTB","0","Other","32","0","0"
"ACTBL2",NA,"Other","0","0","0"
"ACTC1","1","Other","0","0","2"
"ACTG1","0","Other","32","0","0"
"ACTG2","2","Other","2","1","0"
"ACTL6A","2","Other","3","2","7"
"ACTL6B",NA,"Other","0","0","0"
"ACTL7A",NA,"Other","0","0","0"
"ACTL7B",NA,"Other","0","0","0"
"ACTL9",NA,"Other","0","0","0"
"ACTN1","2","Other","13","3","5"
"ACTN2",NA,"Other","0","0","0"
"ACTN4","1","Other","0","0","31"
"ACTR10","2","Other","26","1","4"
"ACTR1A","2","Other","26","1","5"
"ACTR1B","2","Other","6","7","5"
"ACTR2","2","Other","30","2","0"
"ACTR3","2","Other","31","1","0"
"ACTR3B",NA,"Other","0","0","0"
"ACTR5",NA,"Other","0","0","0"
"ACTR6","1","Other","0","3","0"
"ACTR8","3","Other","0","1","3"
"ACTRT1",NA,"Other","0","0","0"
"ACTRT2",NA,"Other","0","0","0"
"ACVR1","3","Receptor","0","1","1"
"ACVR1B","1","Receptor","0","1","0"
"ACVR1C",NA,"Receptor","0","0","0"
"ACVR2A","3","Receptor","0","1","3"
"ACVR2B","3","Receptor","0","3","2"
"ACVRL1","2","Receptor","6","1","3"
"ACY1",NA,"Enzyme","0","0","0"
"ACY3",NA,"Enzyme","0","0","0"
"ACYP1","2","Enzyme","2","3","4"
"ACYP2","3","Enzyme","0","9","4"
"ADA","2","Enzyme","1","4","0"
"ADAD1",NA,"Other","0","0","0"
"ADAD2",NA,"Other","0","0","0"
"ADAL",NA,"Other","0","0","0"
"ADAM10","2","Ligand","19","12","0"
"ADAM11","1","Other","0","0","3"
"ADAM12","1","Ligand","0","2","0"
"ADAM15","2","Ligand","5","6","5"
"ADAM17","2","Ligand","6","3","3"
"ADAM18",NA,"Other","0","0","0"
"ADAM19","2","Other","2","9","4"
"ADAM2",NA,"Ligand","0","0","0"
"ADAM21",NA,"Other","0","0","0"
"ADAM22","1","Other","0","0","1"
"ADAM23",NA,"Ligand","0","0","0"
"ADAM28","2","Ligand","1","3","3"
"ADAM29",NA,"Other","0","0","0"
"ADAM30",NA,"Other","0","0","0"
"ADAM32",NA,"Other","0","0","0"
"ADAM33","2","Other","2","1","0"
"ADAM7",NA,"Other","0","0","0"
"ADAM8","2","Other","2","6","2"
"ADAM9","2","Ligand","2","1","6"
"ADAMDEC1",NA,"Other","0","0","0"
"ADAMTS1","2","Other","7","1","1"
"ADAMTS10","1","Other","0","0","8"
"ADAMTS12","3","Other","0","1","2"
"ADAMTS13",NA,"Other","0","0","0"
"ADAMTS14","1","Other","0","0","1"
"ADAMTS15","2","Other","2","1","3"
"ADAMTS16",NA,"Other","0","0","0"
"ADAMTS17","1","Other","0","0","1"
"ADAMTS18","1","Other","0","1","0"
"ADAMTS19",NA,"Other","0","0","0"
"ADAMTS2","2","Other","2","3","0"
"ADAMTS20",NA,"Other","0","0","0"
"ADAMTS3",NA,"Other","0","0","0"
"ADAMTS4","1","Other","0","5","0"
"ADAMTS5","1","Other","0","0","6"
"ADAMTS6","1","Other","0","1","0"
"ADAMTS7",NA,"Other","0","0","0"
"ADAMTS8","2","Other","3","1","1"
"ADAMTS9","1","Other","0","6","0"
"ADAMTSL1","3","Other","0","1","3"
"ADAMTSL2","3","Other","0","1","2"
"ADAMTSL3","2","Other","1","2","0"
"ADAMTSL4","2","Other","1","3","4"
"ADAMTSL5","1","Other","0","0","8"
"ADAP1","2","Other","2","2","2"
"ADAP2","2","Other","1","1","4"
"ADAR","2","Other","8","23","0"
"ADARB1","2","Other","4","2","1"
"ADARB2","1","Other","0","1","0"
"ADAT1","1","Enzyme","0","2","0"
"ADAT2",NA,"Enzyme","0","0","0"
"ADAT3","1","Other","0","1","0"
"ADCK1",NA,"Other","0","0","0"
"ADCK2","1","Other","0","2","0"
"ADCK5","1","Other","0","0","2"
"ADCY1",NA,"Receptor","0","0","0"
"ADCY10",NA,"Other","0","0","0"
"ADCY2","3","Enzyme","0","1","2"
"ADCY3","2","Enzyme","2","2","0"
"ADCY4","1","Enzyme","0","0","5"
"ADCY5","0","Enzyme","2","0","0"
"ADCY6","1","Enzyme","0","0","2"
"ADCY7","2","Receptor","1","13","0"
"ADCY8","1","Receptor","0","0","1"
"ADCY9","2","Receptor","1","3","0"
"ADCYAP1","1","Ligand","0","1","0"
"ADCYAP1R1","1","Receptor","0","0","1"
"ADD1","0","Other","32","0","0"
"ADD2",NA,"Other","0","0","0"
"ADD3","2","Other","14","6","8"
"ADH1C","2","Other","1","3","0"
"ADH4",NA,"Enzyme","0","0","0"
"ADH5","2","Other","23","6","0"
"ADH7","1","Enzyme","0","0","3"
"ADHFE1",NA,"Other","0","0","0"
"ADI1","2","Other","12","9","5"
"ADIPOQ",NA,"Ligand","0","0","0"
"ADIPOR1","2","Receptor","31","1","0"
"ADIPOR2","1","Receptor","0","0","19"
"ADK","2","Enzyme","9","6","9"
"ADM","2","Ligand","2","6","2"
"ADM2",NA,"Ligand","0","0","0"
"ADNP","2","TF","12","17","0"
"ADNP2","3","TF","0","1","1"
"ADO","1","Other","0","0","8"
"ADORA1",NA,"Receptor","0","0","0"
"ADORA2A","1","Receptor","0","0","1"
"ADORA2B","2","Receptor","2","3","0"
"ADORA3",NA,"Receptor","0","0","0"
"ADPGK","2","Enzyme","2","16","2"
"ADPRH","1","Enzyme","0","0","26"
"ADPRHL1",NA,"Other","0","0","0"
"ADRA1A","1","Receptor","0","0","1"
"ADRA1B",NA,"Receptor","0","0","0"
"ADRA1D","1","Receptor","0","0","2"
"ADRA2A",NA,"Receptor","0","0","0"
"ADRA2B",NA,"Receptor","0","0","0"
"ADRA2C","1","Receptor","0","1","0"
"ADRB1","2","Receptor","3","4","1"
"ADRB2","2","Receptor","7","9","8"
"ADRB3","1","Receptor","0","0","1"
"ADRM1","2","Other","27","1","3"
"ADSL","1","Other","0","0","11"
"AEBP1","2","Other","6","2","2"
"AEBP2","2","TF","4","6","2"
"AEN","2","Other","1","3","0"
"AFAP1","2","Other","1","9","0"
"AFAP1L1","2","Other","5","2","0"
"AFAP1L2","2","Other","1","3","0"
"AFF1","2","TF","9","20","1"
"AFF3","2","TF","2","4","2"
"AFF4","2","TF","27","3","1"
"AFG3L2","2","Other","1","8","1"
"AFM",NA,"Other","0","0","0"
"AFMID","2","Other","1","13","0"
"AFP",NA,"Other","0","0","0"
"AFTPH","2","Other","7","12","0"
"AGA","2","Other","1","1","5"
"AGAP1","2","Other","1","2","5"
"AGAP2","1","Other","0","0","1"
"AGAP3","2","Other","4","6","1"
"AGBL1",NA,"Other","0","0","0"
"AGBL2","1","Other","0","0","1"
"AGBL3",NA,"Other","0","0","0"
"AGBL4","1","Other","0","1","0"
"AGBL5","2","Other","1","1","0"
"AGER","2","Other","1","3","0"
"AGFG1","2","Other","3","8","7"
"AGFG2","2","Other","1","1","1"
"AGGF1","3","Other","0","1","9"
"AGK",NA,"Enzyme","0","0","0"
"AGL","1","Other","0","3","0"
"AGMAT",NA,"Other","0","0","0"
"AGMO","1","Other","0","0","1"
"AGPAT1","1","Other","0","0","11"
"AGPAT2","2","Other","5","10","2"
"AGPAT3","2","Other","9","5","12"
"AGPAT4","2","Other","1","12","0"
"AGPAT5","1","Other","0","0","6"
"AGPS","2","Other","1","2","10"
"AGR2","2","Receptor","1","5","0"
"AGR3","2","Other","1","5","0"
"AGRN","2","Ligand","3","1","1"
"AGRP",NA,"Ligand","0","0","0"
"AGT","1","Ligand","0","1","0"
"AGTPBP1","3","Other","0","7","2"
"AGTR1","2","Receptor","1","1","0"
"AGTR2",NA,"Receptor","0","0","0"
"AGTRAP","2","Other","8","11","2"
"AGXT",NA,"Other","0","0","0"
"AGXT2",NA,"Other","0","0","0"
"AHCTF1","2","Other","1","3","11"
"AHCY","3","Other","0","7","3"
"AHCYL1","2","Other","8","15","0"
"AHCYL2","2","Other","3","2","1"
"AHDC1","3","Other","0","1","2"
"AHI1","2","Other","3","16","0"
"AHNAK","2","Other","29","1","0"
"AHR","2","TF","7","9","0"
"AHRR",NA,"Other","0","0","0"
"AHSA1","2","Other","25","1","4"
"AHSG",NA,"Ligand","0","0","0"
"AICDA",NA,"Enzyme","0","0","0"
"AIDA","3","Other","0","2","2"
"AIF1","1","Other","0","0","1"
"AIF1L","3","Other","0","3","1"
"AIFM1","3","Other","0","1","4"
"AIFM2",NA,"Other","0","0","0"
"AIFM3",NA,"Other","0","0","0"
"AIG1","2","Other","11","6","1"
"AIM2","1","Other","0","1","0"
"AIMP1","2","Other","12","16","3"
"AIMP2","2","Other","2","3","2"
"AIP","2","Other","28","1","3"
"AIPL1",NA,"Other","0","0","0"
"AIRE",NA,"TF","0","0","0"
"AJAP1","1","Other","0","1","0"
"AK1","2","Other","2","5","0"
"AK2","2","Other","16","12","1"
"AK3","2","Other","12","5","4"
"AK4","1","Other","0","2","0"
"AK5",NA,"Other","0","0","0"
"AK7","0","Other","1","0","0"
"AK8","0","Other","1","0","0"
"AKAP1","1","Other","0","6","0"
"AKAP10","1","Other","0","8","0"
"AKAP11","2","Other","1","2","9"
"AKAP12","2","Other","9","1","1"
"AKAP13","2","Other","31","1","0"
"AKAP14","0","Other","1","0","0"
"AKAP3",NA,"Other","0","0","0"
"AKAP4",NA,"Other","0","0","0"
"AKAP5","3","Other","0","1","1"
"AKAP6","2","Other","1","1","1"
"AKAP7","1","Other","0","0","5"
"AKAP8","2","Other","9","4","10"
"AKAP8L","2","Other","1","1","14"
"AKIRIN1","2","Other","19","4","4"
"AKIRIN2","2","Other","14","10","5"
"AKNA","2","Other","12","1","1"
"AKNAD1",NA,"Other","0","0","0"
"ALPI",NA,"Other","0","0","0"
"AKR1A1","2","Other","22","10","0"
"AKR1B1","1","Other","0","20","0"
"AKR1B10",NA,"Other","0","0","0"
"AKR1C3","2","Other","1","8","0"
"AKR1C4",NA,"Other","0","0","0"
"AKR1D1",NA,"Other","0","0","0"
"AKR1E2","1","Other","0","0","3"
"AKR7A2","2","Other","6","10","0"
"AKT1","2","Enzyme","10","1","18"
"AKT1S1","1","Other","0","0","2"
"AKT2","2","Enzyme","7","6","7"
"AKT3","1","Enzyme","0","0","2"
"AKTIP","1","Other","0","0","9"
"ALAD","1","Other","0","0","8"
"ALAS1","2","Other","6","2","11"
"ALAS2",NA,"Other","0","0","0"
"ALB",NA,"Ligand","0","0","0"
"ALCAM","2","Other","8","4","7"
"ALDH16A1","2","Other","2","6","2"
"ALDH18A1","0","Other","2","0","0"
"ALDH1A1","2","Other","7","5","4"
"ALDH1A2","3","Other","0","1","2"
"ALDH1A3","1","Other","0","2","0"
"ALDH1B1","1","Other","0","0","1"
"ALDH1L1","1","Other","0","1","0"
"ALDH1L2","2","Other","1","2","0"
"ALDH2","2","Enzyme","22","2","2"
"ALDH3A1","2","Other","1","1","2"
"ALDH3A2","2","Other","9","4","0"
"ALDH3B1","2","Other","5","4","3"
"ALDH4A1","1","Other","0","0","4"
"ALDH5A1","1","Other","0","0","1"
"ALDH6A1","2","Other","6","7","3"
"ALDH7A1","2","Other","4","11","3"
"ALDH8A1",NA,"Other","0","0","0"
"ALDH9A1","2","Other","4","12","4"
"ALDOA","2","Enzyme","18","14","0"
"ALDOB",NA,"Enzyme","0","0","0"
"ALDOC","3","Enzyme","0","3","1"
"ALG1","2","Enzyme","1","3","0"
"ALG10",NA,"Other","0","0","0"
"ALG11",NA,"Enzyme","0","0","0"
"ALG12",NA,"Enzyme","0","0","0"
"ALG14","3","Other","0","4","6"
"ALG2","2","Enzyme","3","9","0"
"ALG3","2","Enzyme","1","7","1"
"ALG5","2","Enzyme","8","10","7"
"ALG6","1","Enzyme","0","0","2"
"ALG8","1","Enzyme","0","2","0"
"ALG9",NA,"Enzyme","0","0","0"
"ALK",NA,"Receptor","0","0","0"
"ALKBH1","1","Other","0","0","1"
"ALKBH2","1","Other","0","1","0"
"ALKBH3","1","Other","0","0","2"
"ALKBH4","1","Other","0","0","1"
"ALKBH5","2","Other","17","1","14"
"ALKBH6","1","Other","0","0","6"
"ALKBH7","2","Other","2","17","0"
"ALKBH8","1","Other","0","0","1"
"ALLC",NA,"Enzyme","0","0","0"
"ALMS1","1","Other","0","1","0"
"ALOX12","1","Other","0","0","1"
"ALOX12B",NA,"Other","0","0","0"
"ALOX15","3","Other","0","1","2"
"ALOX5","1","Receptor","0","0","4"
"ALOX5AP","2","Ligand","4","6","3"
"ALOX15B","1","Other","0","1","0"
"ALOXE3",NA,"Other","0","0","0"
"ALPP",NA,"Other","0","0","0"
"ALPK1","1","Enzyme","0","3","0"
"ALPK2",NA,"Other","0","0","0"
"ALPK3",NA,"Enzyme","0","0","0"
"ALPL","3","Other","0","3","4"
"ALPG",NA,"Other","0","0","0"
"ALS2","1","Other","0","1","0"
"ALS2CL","2","Other","3","2","4"
"ALX1",NA,"TF","0","0","0"
"ALX3",NA,"TF","0","0","0"
"ALX4",NA,"TF","0","0","0"
"AMACR",NA,"Enzyme","0","0","0"
"AMBN",NA,"Other","0","0","0"
"AMBP",NA,"Other","0","0","0"
"AMBRA1","1","Other","0","2","0"
"AMDHD1",NA,"Other","0","0","0"
"AMDHD2","3","Other","0","1","1"
"AMELY",NA,"Ligand","0","0","0"
"AMFR","2","Receptor","6","24","0"
"AMH",NA,"Ligand","0","0","0"
"AMHR2",NA,"Receptor","0","0","0"
"AMIGO1",NA,"Other","0","0","0"
"AMIGO2","3","Other","0","2","2"
