Cell	cell_type
I19_B002014.gencode.vH29	Capillary Aerocyte
I19_B003139.gencode.vH29	Capillary Aerocyte
I2_B002385.gencode.vH29	Capillary Aerocyte
I20_B002383.gencode.vH29	Capillary Aerocyte
I20_B003138.gencode.vH29	Capillary Intermediate 1
I4_B003135.gencode.vH29	Capillary Aerocyte
I4_B003140.gencode.vH29	Capillary Intermediate 1
I8_B002385.gencode.vH29	Capillary Intermediate 1
I9_B003136.gencode.vH29	Capillary Aerocyte
I9_B003138.gencode.vH29	Capillary Aerocyte
J10_B002383.gencode.vH29	Capillary Aerocyte
J11_B003142.gencode.vH29	Capillary Aerocyte
J13_B002385.gencode.vH29	Capillary Aerocyte
J13_B002386.gencode.vH29	Capillary
J14_B002383.gencode.vH29	Capillary Intermediate 1
J14_B003138.gencode.vH29	Capillary Aerocyte
J17_B003138.gencode.vH29	Capillary Aerocyte
J17_B003139.gencode.vH29	Capillary Aerocyte
J18_B003138.gencode.vH29	Capillary Intermediate 1
J2_B003139.gencode.vH29	Artery
J20_B003139.gencode.vH29	Capillary Aerocyte
J7_B003139.gencode.vH29	Capillary Aerocyte
J8_B003141.gencode.vH29	Capillary Intermediate 1
J9_B002382.gencode.vH29	Capillary Intermediate 1
J9_B003140.gencode.vH29	Capillary Aerocyte
K10_B003137.gencode.vH29	Capillary Aerocyte
K11_B003139.gencode.vH29	Capillary Intermediate 1
K11_B003140.gencode.vH29	Capillary Aerocyte
K14_B002383.gencode.vH29	Capillary Aerocyte
K15_B002383.gencode.vH29	Capillary Aerocyte
K16_B002014.gencode.vH29	Capillary Aerocyte
K17_B003139.gencode.vH29	Capillary Intermediate 1
K18_B003138.gencode.vH29	Capillary Aerocyte
K19_B002383.gencode.vH29	Capillary Aerocyte
K19_B003139.gencode.vH29	Capillary Aerocyte
K2_B002383.gencode.vH29	Capillary Aerocyte
K2_B003136.gencode.vH29	Capillary Intermediate 1
K20_B002383.gencode.vH29	Capillary Aerocyte
K20_B003139.gencode.vH29	Capillary Aerocyte
K3_B002014.gencode.vH29	Capillary Aerocyte
K5_B002382.gencode.vH29	Capillary Intermediate 1
K5_B003137.gencode.vH29	Capillary Aerocyte
K5_B003141.gencode.vH29	Capillary Aerocyte
K6_B002383.gencode.vH29	Capillary Aerocyte
K6_B003141.gencode.vH29	Capillary Aerocyte
K8_B002383.gencode.vH29	Capillary Aerocyte
K9_B003136.gencode.vH29	Capillary Aerocyte
K9_B003142.gencode.vH29	Capillary Intermediate 1
L1_B003139.gencode.vH29	Capillary Aerocyte
L10_B003139.gencode.vH29	Capillary Intermediate 1
L12_B002383.gencode.vH29	Capillary Aerocyte
L12_B003141.gencode.vH29	Capillary Aerocyte
L13_B002014.gencode.vH29	Capillary Intermediate 1
L14_B002382.gencode.vH29	Capillary Intermediate 1
L17_B003138.gencode.vH29	Capillary Aerocyte
L17_B003140.gencode.vH29	Capillary Aerocyte
L18_B002383.gencode.vH29	Capillary Intermediate 1
L18_B003139.gencode.vH29	Capillary Intermediate 1
L20_B003139.gencode.vH29	Capillary Aerocyte
L20_B003141.gencode.vH29	Capillary Aerocyte
L4_B003137.gencode.vH29	Capillary Aerocyte
L5_B003139.gencode.vH29	Capillary Aerocyte
L6_B003136.gencode.vH29	Capillary Intermediate 1
L6_B003142.gencode.vH29	Capillary Intermediate 1
L7_B002382.gencode.vH29	Capillary Intermediate 1
L7_B003135.gencode.vH29	Capillary Aerocyte
L8_B002383.gencode.vH29	Capillary Aerocyte
M10_B003138.gencode.vH29	Capillary Aerocyte
M11_B002383.gencode.vH29	Capillary Aerocyte
M12_B002385.gencode.vH29	Capillary Aerocyte
M13_B003139.gencode.vH29	Capillary Aerocyte
M15_B002014.gencode.vH29	Capillary Aerocyte
M15_B003136.gencode.vH29	Capillary Intermediate 1
M16_B002014.gencode.vH29	Capillary Aerocyte
M16_B002383.gencode.vH29	Capillary Intermediate 1
M16_B003136.gencode.vH29	Capillary Intermediate 1
M16_B003138.gencode.vH29	Capillary Aerocyte
M18_B003140.gencode.vH29	Capillary Aerocyte
M20_B002383.gencode.vH29	Capillary Aerocyte
M3_B003139.gencode.vH29	Capillary Intermediate 1
M6_B003136.gencode.vH29	Capillary Aerocyte
M6_B003137.gencode.vH29	Capillary Intermediate 1
M8_B003142.gencode.vH29	Capillary
M9_B002383.gencode.vH29	Capillary Intermediate 1
N10_B002014.gencode.vH29	Capillary Aerocyte
N10_B002383.gencode.vH29	Capillary Intermediate 1
N11_B003140.gencode.vH29	Capillary Aerocyte
N12_B002382.gencode.vH29	Capillary Intermediate 1
N12_B003138.gencode.vH29	Capillary Intermediate 1
N12_B003140.gencode.vH29	Capillary Intermediate 1
N13_B003140.gencode.vH29	Capillary Aerocyte
N16_B003138.gencode.vH29	Capillary Aerocyte
N17_B002383.gencode.vH29	Capillary Aerocyte
N20_B002383.gencode.vH29	Capillary Aerocyte
N4_B003138.gencode.vH29	Capillary Aerocyte
N4_B003142.gencode.vH29	Capillary Aerocyte
O1_B002383.gencode.vH29	Capillary Aerocyte
O10_B003137.gencode.vH29	Capillary Intermediate 1
O10_B003141.gencode.vH29	Capillary Aerocyte
O14_B002014.gencode.vH29	Capillary Intermediate 1
O16_B002383.gencode.vH29	Capillary Aerocyte
O18_B002014.gencode.vH29	Capillary Aerocyte
O4_B003138.gencode.vH29	Capillary Aerocyte
O6_B003138.gencode.vH29	Capillary Aerocyte
P10_B002014.gencode.vH29	Capillary Aerocyte
P10_B003142.gencode.vH29	Capillary Aerocyte
P12_B002383.gencode.vH29	Capillary Intermediate 1
P15_B002383.gencode.vH29	Capillary Aerocyte
P17_B002382.gencode.vH29	Capillary Aerocyte
P5_B003140.gencode.vH29	Capillary Aerocyte
P6_B002383.gencode.vH29	Capillary Intermediate 1
P6_B003138.gencode.vH29	Capillary Aerocyte
P8_B003140.gencode.vH29	Capillary Intermediate 1
A1_B002382.gencode.vH29	Ciliated
A10_B003135.gencode.vH29	Ciliated
A10_B003136.gencode.vH29	Ciliated
A10_B003137.gencode.vH29	Ciliated
A10_B003140.gencode.vH29	Ciliated
A11_B002014.gencode.vH29	Ciliated
A11_B002386.gencode.vH29	Ciliated
A12_B002382.gencode.vH29	Ciliated
A12_B002386.gencode.vH29	Ciliated
A13_B002386.gencode.vH29	Ciliated
A13_B003135.gencode.vH29	Ciliated
A13_B003137.gencode.vH29	Ciliated
A13_B003141.gencode.vH29	Ciliated
A3_B003137.gencode.vH29	Ciliated
A7_B002383.gencode.vH29	Ciliated
A8_B003136.gencode.vH29	Ciliated
A9_B002386.gencode.vH29	Ciliated
A9_B003135.gencode.vH29	Ciliated
B1_B002382.gencode.vH29	Ciliated
B1_B003135.gencode.vH29	Ciliated
B1_B003142.gencode.vH29	Ciliated
