Cell	cell_type
G2_B003135.gencode.vH29	Alveolar Epithelial Type 2
G2_B003137.gencode.vH29	Alveolar Epithelial Type 2
G3_B003142.gencode.vH29	Alveolar Epithelial Type 2
G4_B002382.gencode.vH29	Alveolar Epithelial Type 2
G4_B002386.gencode.vH29	Alveolar Epithelial Type 2
G4_B003140.gencode.vH29	Alveolar Epithelial Type 2
G7_B002385.gencode.vH29	Alveolar Epithelial Type 2
G8_B002014.gencode.vH29	Alveolar Epithelial Type 2
G8_B003137.gencode.vH29	Alveolar Epithelial Type 2
G9_B002014.gencode.vH29	Alveolar Epithelial Type 2
G9_B002386.gencode.vH29	Alveolar Epithelial Type 2
G9_B003136.gencode.vH29	Alveolar Epithelial Type 2
H1_B003140.gencode.vH29	Alveolar Epithelial Type 2
H10_B003137.gencode.vH29	Alveolar Epithelial Type 2
H11_B003135.gencode.vH29	Alveolar Epithelial Type 2
H12_B002386.gencode.vH29	Alveolar Epithelial Type 2
H12_B003136.gencode.vH29	Alveolar Epithelial Type 2
H13_B002382.gencode.vH29	Alveolar Epithelial Type 2
H13_B003137.gencode.vH29	Alveolar Epithelial Type 2
H2_B003135.gencode.vH29	Alveolar Epithelial Type 2
H2_B003136.gencode.vH29	Alveolar Epithelial Type 2
H3_B003140.gencode.vH29	Alveolar Epithelial Type 2
H4_B003136.gencode.vH29	Alveolar Epithelial Type 2
H5_B002382.gencode.vH29	Alveolar Epithelial Type 2
H5_B002386.gencode.vH29	Alveolar Epithelial Type 2
H6_B003140.gencode.vH29	Alveolar Epithelial Type 2
H7_B003137.gencode.vH29	Alveolar Epithelial Type 2
H7_B003141.gencode.vH29	Alveolar Epithelial Type 2
H8_B003141.gencode.vH29	Alveolar Epithelial Type 2
I11_B002382.gencode.vH29	Alveolar Epithelial Type 2
I11_B003135.gencode.vH29	Alveolar Epithelial Type 2
I11_B003136.gencode.vH29	Alveolar Epithelial Type 2
I12_B002382.gencode.vH29	Alveolar Epithelial Type 2
I12_B002385.gencode.vH29	Alveolar Epithelial Type 2
I12_B003135.gencode.vH29	Alveolar Epithelial Type 2
I12_B003140.gencode.vH29	Alveolar Epithelial Type 2
I13_B003135.gencode.vH29	Alveolar Epithelial Type 2
I13_B003136.gencode.vH29	Alveolar Epithelial Type 2
I2_B003141.gencode.vH29	Alveolar Epithelial Type 2
I3_B003136.gencode.vH29	Alveolar Epithelial Type 2
I4_B002014.gencode.vH29	Alveolar Epithelial Type 2
I4_B003141.gencode.vH29	Alveolar Epithelial Type 2
I5_B002382.gencode.vH29	Alveolar Epithelial Type 2
I5_B002386.gencode.vH29	Alveolar Epithelial Type 2
I5_B003142.gencode.vH29	Alveolar Epithelial Type 2
I6_B003135.gencode.vH29	Alveolar Epithelial Type 2
I7_B003142.gencode.vH29	Alveolar Epithelial Type 2
I8_B002386.gencode.vH29	Alveolar Epithelial Type 2
I8_B003135.gencode.vH29	Alveolar Epithelial Type 2
I9_B003135.gencode.vH29	Alveolar Epithelial Type 2
I9_B003137.gencode.vH29	Alveolar Epithelial Type 2
I9_B003142.gencode.vH29	Alveolar Epithelial Type 2
J10_B003142.gencode.vH29	Alveolar Epithelial Type 2
J11_B002385.gencode.vH29	Alveolar Epithelial Type 2
J11_B003135.gencode.vH29	Alveolar Epithelial Type 2
J11_B003141.gencode.vH29	Alveolar Epithelial Type 2
J12_B002382.gencode.vH29	Alveolar Epithelial Type 2
J2_B003135.gencode.vH29	Alveolar Epithelial Type 2
J2_B003141.gencode.vH29	Alveolar Epithelial Type 2
J3_B003142.gencode.vH29	Alveolar Epithelial Type 2
J4_B002383.gencode.vH29	Alveolar Epithelial Type 2
J4_B003135.gencode.vH29	Alveolar Epithelial Type 2
J4_B003141.gencode.vH29	Alveolar Epithelial Type 2
J5_B003135.gencode.vH29	Alveolar Epithelial Type 2
J6_B002386.gencode.vH29	Alveolar Epithelial Type 2
J6_B003135.gencode.vH29	Alveolar Epithelial Type 2
J6_B003142.gencode.vH29	Alveolar Epithelial Type 2
J7_B002385.gencode.vH29	Alveolar Epithelial Type 2
J8_B003136.gencode.vH29	Alveolar Epithelial Type 2
J8_B003140.gencode.vH29	Alveolar Epithelial Type 2
J8_B003142.gencode.vH29	Alveolar Epithelial Type 2
K13_B002386.gencode.vH29	Alveolar Epithelial Type 2
K2_B003135.gencode.vH29	Alveolar Epithelial Type 2
K3_B002385.gencode.vH29	Alveolar Epithelial Type 2
K4_B003142.gencode.vH29	Alveolar Epithelial Type 2
K5_B003136.gencode.vH29	Alveolar Epithelial Type 2
K6_B003135.gencode.vH29	Alveolar Epithelial Type 2
K7_B002385.gencode.vH29	Alveolar Epithelial Type 2
K8_B003137.gencode.vH29	Alveolar Epithelial Type 2
L1_B003137.gencode.vH29	Alveolar Epithelial Type 2
L10_B003141.gencode.vH29	Alveolar Epithelial Type 2
L11_B003136.gencode.vH29	Alveolar Epithelial Type 2
L12_B002385.gencode.vH29	Alveolar Epithelial Type 2
L13_B003136.gencode.vH29	Alveolar Epithelial Type 2
L2_B002383.gencode.vH29	Alveolar Epithelial Type 2
L2_B003140.gencode.vH29	Alveolar Epithelial Type 2
L2_B003141.gencode.vH29	Alveolar Epithelial Type 2
L3_B003136.gencode.vH29	Alveolar Epithelial Type 2
L4_B003135.gencode.vH29	Alveolar Epithelial Type 2
L5_B003136.gencode.vH29	Alveolar Epithelial Type 2
L9_B003140.gencode.vH29	Alveolar Epithelial Type 2
M1_B003138.gencode.vH29	Alveolar Epithelial Type 2
M1_B003139.gencode.vH29	Alveolar Epithelial Type 2
M10_B003141.gencode.vH29	Alveolar Epithelial Type 2
M11_B002385.gencode.vH29	Alveolar Epithelial Type 2
M11_B003135.gencode.vH29	Alveolar Epithelial Type 2
M13_B003137.gencode.vH29	Alveolar Epithelial Type 2
M2_B002385.gencode.vH29	Alveolar Epithelial Type 2
M2_B003135.gencode.vH29	Alveolar Epithelial Type 2
M2_B003136.gencode.vH29	Alveolar Epithelial Type 2
M2_B003137.gencode.vH29	Alveolar Epithelial Type 2
M2_B003142.gencode.vH29	Alveolar Epithelial Type 2
M3_B003136.gencode.vH29	Alveolar Epithelial Type 2
M4_B003141.gencode.vH29	Alveolar Epithelial Type 2
M5_B002385.gencode.vH29	Alveolar Epithelial Type 2
M6_B003141.gencode.vH29	Alveolar Epithelial Type 2
M7_B002385.gencode.vH29	Alveolar Epithelial Type 2
M8_B002386.gencode.vH29	Club
M8_B003135.gencode.vH29	Alveolar Epithelial Type 2
N10_B002385.gencode.vH29	Alveolar Epithelial Type 2
N11_B002385.gencode.vH29	Alveolar Epithelial Type 2
N11_B003141.gencode.vH29	Alveolar Epithelial Type 2
N12_B003141.gencode.vH29	Alveolar Epithelial Type 2
N2_B002382.gencode.vH29	Alveolar Epithelial Type 2
N2_B003135.gencode.vH29	Alveolar Epithelial Type 2
N2_B003138.gencode.vH29	Alveolar Epithelial Type 2
N2_B003139.gencode.vH29	Alveolar Epithelial Type 2
N3_B002385.gencode.vH29	Alveolar Epithelial Type 2
N3_B003137.gencode.vH29	Alveolar Epithelial Type 2
N4_B003135.gencode.vH29	Alveolar Epithelial Type 2
N6_B003137.gencode.vH29	Alveolar Epithelial Type 2
N7_B002014.gencode.vH29	Alveolar Epithelial Type 2
N7_B002382.gencode.vH29	Alveolar Epithelial Type 2
N8_B002385.gencode.vH29	Alveolar Epithelial Type 2
N9_B002386.gencode.vH29	Alveolar Epithelial Type 2
N9_B003140.gencode.vH29	Alveolar Epithelial Type 2
O1_B003141.gencode.vH29	Alveolar Epithelial Type 2
O10_B002014.gencode.vH29	Alveolar Epithelial Type 2
O10_B002382.gencode.vH29	Alveolar Epithelial Type 2
O10_B002386.gencode.vH29	Alveolar Epithelial Type 2
O10_B003135.gencode.vH29	Alveolar Epithelial Type 2
O10_B003138.gencode.vH29	Alveolar Epithelial Type 2
O11_B002386.gencode.vH29	Alveolar Epithelial Type 2
O11_B003135.gencode.vH29	Alveolar Epithelial Type 2
O11_B003138.gencode.vH29	Alveolar Epithelial Type 2
O11_B003141.gencode.vH29	Alveolar Epithelial Type 2
O13_B003141.gencode.vH29	Alveolar Epithelial Type 2
O2_B003135.gencode.vH29	Alveolar Epithelial Type 2
O2_B003139.gencode.vH29	Alveolar Epithelial Type 2
O3_B002386.gencode.vH29	Club
O3_B003137.gencode.vH29	Alveolar Epithelial Type 2
O4_B003136.gencode.vH29	Alveolar Epithelial Type 2
O4_B003137.gencode.vH29	Alveolar Epithelial Type 2
O6_B003136.gencode.vH29	Alveolar Epithelial Type 2
O7_B003135.gencode.vH29	Alveolar Epithelial Type 2
O8_B002382.gencode.vH29	Alveolar Epithelial Type 2
O8_B003137.gencode.vH29	Alveolar Epithelial Type 2
P1_B003139.gencode.vH29	Alveolar Epithelial Type 2
P10_B002386.gencode.vH29	Alveolar Epithelial Type 2
P10_B003135.gencode.vH29	Alveolar Epithelial Type 2
P10_B003136.gencode.vH29	Alveolar Epithelial Type 2
P10_B003138.gencode.vH29	Alveolar Epithelial Type 2
P10_B003140.gencode.vH29	Alveolar Epithelial Type 2
P11_B003136.gencode.vH29	Alveolar Epithelial Type 2
P11_B003138.gencode.vH29	Alveolar Epithelial Type 2
P12_B002014.gencode.vH29	Club
P12_B002385.gencode.vH29	Alveolar Epithelial Type 2
P12_B003137.gencode.vH29	Alveolar Epithelial Type 2
P13_B002385.gencode.vH29	Alveolar Epithelial Type 2
P8_B003135.gencode.vH29	Alveolar Epithelial Type 2
P8_B003142.gencode.vH29	Alveolar Epithelial Type 2
P9_B002014.gencode.vH29	Alveolar Epithelial Type 2
P9_B003137.gencode.vH29	Alveolar Epithelial Type 2
A12_B002014.gencode.vH29	Capillary Aerocyte
A15_B002382.gencode.vH29	Capillary Aerocyte
A16_B003136.gencode.vH29	Capillary Aerocyte
A16_B003137.gencode.vH29	Capillary Aerocyte
A18_B002382.gencode.vH29	Capillary Aerocyte
A20_B003141.gencode.vH29	Capillary Aerocyte
A4_B002382.gencode.vH29	Capillary Aerocyte
A4_B002383.gencode.vH29	Capillary Aerocyte
A4_B002386.gencode.vH29	Capillary Aerocyte
A5_B002386.gencode.vH29	Capillary Aerocyte
A5_B003138.gencode.vH29	Capillary Aerocyte
A7_B002386.gencode.vH29	Capillary Aerocyte
A7_B003141.gencode.vH29	Capillary Aerocyte
B1_B003140.gencode.vH29	Capillary Aerocyte
B10_B003141.gencode.vH29	Capillary Aerocyte
B11_B003135.gencode.vH29	Capillary Aerocyte
B14_B003140.gencode.vH29	Capillary Aerocyte
B15_B002382.gencode.vH29	Capillary Aerocyte
B15_B002386.gencode.vH29	Capillary Aerocyte
B16_B003137.gencode.vH29	Capillary Aerocyte
B16_B003138.gencode.vH29	Capillary Aerocyte
B17_B002385.gencode.vH29	Capillary Aerocyte
B17_B003137.gencode.vH29	Capillary Aerocyte
B17_B003142.gencode.vH29	Capillary Aerocyte
B18_B003136.gencode.vH29	Capillary Aerocyte
B2_B003136.gencode.vH29	Capillary Aerocyte
B20_B002386.gencode.vH29	Capillary Aerocyte
B20_B003141.gencode.vH29	Capillary Aerocyte
B4_B003135.gencode.vH29	Capillary Aerocyte
B6_B003140.gencode.vH29	Capillary Aerocyte
B8_B002383.gencode.vH29	Capillary Aerocyte
B8_B003137.gencode.vH29	Capillary Aerocyte
C12_B002386.gencode.vH29	Capillary Aerocyte
C13_B002386.gencode.vH29	Capillary Aerocyte
C16_B003141.gencode.vH29	Capillary Aerocyte
C17_B002385.gencode.vH29	Capillary Aerocyte
C17_B002386.gencode.vH29	Capillary Aerocyte
C18_B002385.gencode.vH29	Capillary Aerocyte
C19_B002014.gencode.vH29	Capillary Aerocyte
C19_B002382.gencode.vH29	Capillary Aerocyte
C19_B002385.gencode.vH29	Capillary Aerocyte
C19_B003136.gencode.vH29	Capillary Aerocyte
C2_B002382.gencode.vH29	Capillary Aerocyte
C2_B002385.gencode.vH29	Capillary Aerocyte
C20_B003135.gencode.vH29	Capillary Aerocyte
C7_B003137.gencode.vH29	Capillary Aerocyte
D10_B003141.gencode.vH29	Capillary Aerocyte
D11_B003142.gencode.vH29	Capillary Aerocyte
D12_B003135.gencode.vH29	Capillary Aerocyte
D13_B003136.gencode.vH29	Capillary Aerocyte
D14_B002385.gencode.vH29	Capillary Aerocyte
D15_B002382.gencode.vH29	Capillary Aerocyte
D15_B003142.gencode.vH29	Capillary Aerocyte
D16_B002385.gencode.vH29	Capillary Aerocyte
D17_B002386.gencode.vH29	Capillary Aerocyte
D18_B002385.gencode.vH29	Capillary Aerocyte
D18_B003135.gencode.vH29	Capillary Aerocyte
D19_B003138.gencode.vH29	Capillary Aerocyte
D19_B003141.gencode.vH29	Capillary Aerocyte
D20_B002382.gencode.vH29	Capillary Aerocyte
D20_B002386.gencode.vH29	Capillary Aerocyte
D20_B003137.gencode.vH29	Capillary Aerocyte
D20_B003142.gencode.vH29	Capillary Aerocyte
D3_B003135.gencode.vH29	Capillary Aerocyte
D4_B003135.gencode.vH29	Capillary Aerocyte
D5_B002386.gencode.vH29	Capillary Aerocyte
D8_B003141.gencode.vH29	Capillary Aerocyte
D9_B003137.gencode.vH29	Capillary Aerocyte
E1_B002386.gencode.vH29	Capillary Aerocyte
E14_B002014.gencode.vH29	Capillary Aerocyte
E14_B003136.gencode.vH29	Capillary Aerocyte
E15_B003140.gencode.vH29	Capillary Aerocyte
E15_B003141.gencode.vH29	Capillary Aerocyte
E16_B003140.gencode.vH29	Capillary Aerocyte
E17_B002383.gencode.vH29	Capillary Aerocyte
E17_B003136.gencode.vH29	Capillary Aerocyte
E19_B002386.gencode.vH29	Capillary Aerocyte
E19_B003137.gencode.vH29	Capillary Aerocyte
E20_B003142.gencode.vH29	Capillary Aerocyte
E5_B003142.gencode.vH29	Capillary Aerocyte
E7_B003136.gencode.vH29	Capillary Aerocyte
E8_B002386.gencode.vH29	Capillary Aerocyte
E8_B003142.gencode.vH29	Capillary Aerocyte
F1_B002386.gencode.vH29	Capillary Aerocyte
F14_B002382.gencode.vH29	Capillary Aerocyte
F14_B003137.gencode.vH29	Capillary Aerocyte
F14_B003141.gencode.vH29	Capillary Aerocyte
F15_B003136.gencode.vH29	Capillary Aerocyte
F16_B002386.gencode.vH29	Capillary Aerocyte
F16_B003141.gencode.vH29	Capillary Aerocyte
F16_B003142.gencode.vH29	Capillary Aerocyte
F17_B003142.gencode.vH29	Capillary Aerocyte
F20_B002382.gencode.vH29	Capillary Aerocyte
F20_B003140.gencode.vH29	Capillary Aerocyte
F9_B003136.gencode.vH29	Capillary Aerocyte
F9_B003142.gencode.vH29	Capillary Aerocyte
G11_B003136.gencode.vH29	Capillary Aerocyte
G12_B003136.gencode.vH29	Capillary Aerocyte
G14_B003137.gencode.vH29	Capillary Aerocyte
G14_B003140.gencode.vH29	Capillary Aerocyte
G15_B002386.gencode.vH29	Capillary Aerocyte
G15_B003142.gencode.vH29	Capillary Aerocyte
G17_B002386.gencode.vH29	Capillary Aerocyte
G18_B003136.gencode.vH29	Capillary Aerocyte
G19_B002386.gencode.vH29	Capillary Aerocyte
G5_B002386.gencode.vH29	Capillary Aerocyte
G5_B003136.gencode.vH29	Capillary Aerocyte
G6_B003142.gencode.vH29	Capillary Aerocyte
G8_B003136.gencode.vH29	Capillary Aerocyte
G9_B003135.gencode.vH29	Capillary Aerocyte
G9_B003141.gencode.vH29	Capillary Aerocyte
H10_B003140.gencode.vH29	Capillary Aerocyte
H13_B003135.gencode.vH29	Capillary Aerocyte
H13_B003142.gencode.vH29	Capillary Aerocyte
H15_B002014.gencode.vH29	Capillary Aerocyte
H16_B002382.gencode.vH29	Capillary Aerocyte
H16_B003140.gencode.vH29	Capillary Aerocyte
H17_B002385.gencode.vH29	Capillary Aerocyte
H17_B002386.gencode.vH29	Capillary Aerocyte
H17_B003137.gencode.vH29	Capillary Aerocyte
H18_B002382.gencode.vH29	Capillary Aerocyte
H18_B002385.gencode.vH29	Capillary Aerocyte
H18_B003135.gencode.vH29	Capillary Aerocyte
H19_B002382.gencode.vH29	Capillary Aerocyte
H20_B002385.gencode.vH29	Capillary Aerocyte
H20_B003136.gencode.vH29	Capillary Aerocyte
H7_B003135.gencode.vH29	Capillary Aerocyte
H7_B003142.gencode.vH29	Capillary Aerocyte
H9_B002386.gencode.vH29	Capillary Aerocyte
I10_B002386.gencode.vH29	Capillary Aerocyte
I14_B003142.gencode.vH29	Capillary Aerocyte
I15_B003136.gencode.vH29	Capillary Aerocyte
I19_B003142.gencode.vH29	Capillary Aerocyte
I2_B002386.gencode.vH29	Capillary Aerocyte
I20_B003135.gencode.vH29	Capillary Aerocyte
I20_B003136.gencode.vH29	Capillary Aerocyte
I20_B003141.gencode.vH29	Capillary Aerocyte
I20_B003142.gencode.vH29	Capillary Aerocyte
I3_B003139.gencode.vH29	Capillary Aerocyte
I3_B003142.gencode.vH29	Capillary Aerocyte
I6_B003141.gencode.vH29	Capillary Aerocyte
I7_B002385.gencode.vH29	Capillary Aerocyte
I7_B003141.gencode.vH29	Capillary Aerocyte
I8_B003136.gencode.vH29	Capillary
I9_B003139.gencode.vH29	Capillary Aerocyte
J1_B003140.gencode.vH29	Capillary Aerocyte
J11_B002382.gencode.vH29	Capillary Aerocyte
J13_B002382.gencode.vH29	Capillary Aerocyte
J14_B002382.gencode.vH29	Capillary Aerocyte
J14_B003136.gencode.vH29	Capillary Aerocyte
J14_B003142.gencode.vH29	Capillary Aerocyte
J15_B002382.gencode.vH29	Capillary Aerocyte
J15_B002385.gencode.vH29	Capillary Aerocyte
J15_B002386.gencode.vH29	Capillary Aerocyte
J15_B003135.gencode.vH29	Capillary Aerocyte
J15_B003142.gencode.vH29	Capillary Aerocyte
J16_B002382.gencode.vH29	Capillary Aerocyte
J18_B003136.gencode.vH29	Capillary Aerocyte
J19_B002382.gencode.vH29	Capillary Aerocyte
J19_B002386.gencode.vH29	Capillary Aerocyte
J20_B003137.gencode.vH29	Capillary Aerocyte
J20_B003141.gencode.vH29	Capillary Aerocyte
J3_B002382.gencode.vH29	Capillary Aerocyte
J7_B002386.gencode.vH29	Capillary Aerocyte
K10_B002385.gencode.vH29	Capillary Aerocyte
K10_B003141.gencode.vH29	Capillary Aerocyte
K11_B003135.gencode.vH29	Capillary Aerocyte
K13_B002382.gencode.vH29	Capillary Aerocyte
K14_B003137.gencode.vH29	Capillary Aerocyte
K15_B003137.gencode.vH29	Capillary Aerocyte
K15_B003141.gencode.vH29	Capillary Aerocyte
K16_B003135.gencode.vH29	Capillary Aerocyte
K16_B003136.gencode.vH29	Capillary Aerocyte
K18_B003140.gencode.vH29	Capillary Aerocyte
K2_B002382.gencode.vH29	Capillary Aerocyte
K20_B003141.gencode.vH29	Capillary Aerocyte
K3_B003142.gencode.vH29	Capillary Aerocyte
K4_B002386.gencode.vH29	Capillary Aerocyte
K4_B003137.gencode.vH29	Capillary Aerocyte
K6_B003140.gencode.vH29	Capillary Aerocyte
K8_B003138.gencode.vH29	Capillary Aerocyte
L12_B003135.gencode.vH29	Capillary Aerocyte
L13_B002386.gencode.vH29	Capillary Aerocyte
L13_B003137.gencode.vH29	Capillary Aerocyte
L14_B003137.gencode.vH29	Capillary Aerocyte
L16_B002385.gencode.vH29	Capillary Aerocyte
L16_B003135.gencode.vH29	Capillary Aerocyte
L16_B003138.gencode.vH29	Capillary Aerocyte
L16_B003140.gencode.vH29	Capillary Aerocyte
L17_B002386.gencode.vH29	Capillary Aerocyte
L17_B003137.gencode.vH29	Capillary Aerocyte
L18_B003135.gencode.vH29	Capillary Aerocyte
L19_B002382.gencode.vH29	Capillary Aerocyte
L19_B003140.gencode.vH29	Capillary Aerocyte
L3_B003137.gencode.vH29	Capillary Aerocyte
L8_B003136.gencode.vH29	Capillary Aerocyte
L9_B002385.gencode.vH29	Capillary Aerocyte
M1_B003140.gencode.vH29	Capillary Aerocyte
M12_B003137.gencode.vH29	Capillary Aerocyte
M13_B003140.gencode.vH29	Capillary Aerocyte
M13_B003142.gencode.vH29	Capillary Aerocyte
M14_B003136.gencode.vH29	Capillary Aerocyte
M15_B002382.gencode.vH29	Capillary Aerocyte
M15_B003137.gencode.vH29	Capillary Aerocyte
M16_B002382.gencode.vH29	Capillary Aerocyte
M17_B003135.gencode.vH29	Capillary Aerocyte
M17_B003141.gencode.vH29	Capillary Aerocyte
M18_B003142.gencode.vH29	Capillary Aerocyte
M19_B002385.gencode.vH29	Capillary Aerocyte
M20_B002385.gencode.vH29	Capillary Aerocyte
M20_B002386.gencode.vH29	Capillary Aerocyte
M20_B003136.gencode.vH29	Capillary Aerocyte
M3_B003140.gencode.vH29	Capillary Aerocyte
M5_B003135.gencode.vH29	Capillary Aerocyte
M6_B003135.gencode.vH29	Capillary Aerocyte
M7_B003142.gencode.vH29	Capillary Aerocyte
M9_B003136.gencode.vH29	Capillary Aerocyte
M9_B003142.gencode.vH29	Capillary Aerocyte
N1_B003140.gencode.vH29	Capillary Aerocyte
N14_B003136.gencode.vH29	Capillary Aerocyte
N14_B003141.gencode.vH29	Capillary Aerocyte
N14_B003142.gencode.vH29	Capillary Aerocyte
N15_B003136.gencode.vH29	Capillary Aerocyte
N16_B003141.gencode.vH29	Capillary Aerocyte
N17_B002385.gencode.vH29	Capillary Aerocyte
N17_B003142.gencode.vH29	Capillary Aerocyte
N18_B002385.gencode.vH29	Capillary Aerocyte
N18_B002386.gencode.vH29	Capillary Aerocyte
N18_B003140.gencode.vH29	Capillary Aerocyte
N19_B002382.gencode.vH29	Capillary Aerocyte
N19_B002386.gencode.vH29	Capillary Aerocyte
N20_B002382.gencode.vH29	Capillary Aerocyte
N20_B002386.gencode.vH29	Capillary Aerocyte
N20_B003140.gencode.vH29	Capillary Aerocyte
N20_B003142.gencode.vH29	Capillary Aerocyte
N7_B003142.gencode.vH29	Capillary Aerocyte
O1_B003136.gencode.vH29	Capillary Aerocyte
O12_B002382.gencode.vH29	Capillary Aerocyte
O12_B002385.gencode.vH29	Capillary Aerocyte
O14_B002386.gencode.vH29	Capillary Aerocyte
O14_B003138.gencode.vH29	Capillary Aerocyte
O15_B003140.gencode.vH29	Capillary
O15_B003142.gencode.vH29	Capillary Aerocyte
O16_B003136.gencode.vH29	Capillary Aerocyte
O16_B003138.gencode.vH29	Capillary Aerocyte
O16_B003140.gencode.vH29	Capillary Aerocyte
O17_B002382.gencode.vH29	Capillary Aerocyte
O17_B003136.gencode.vH29	Capillary Aerocyte
O17_B003140.gencode.vH29	Capillary Aerocyte
O18_B003136.gencode.vH29	Capillary Aerocyte
O19_B002382.gencode.vH29	Capillary Aerocyte
O19_B003142.gencode.vH29	Capillary Aerocyte
O2_B003136.gencode.vH29	Capillary Aerocyte
O2_B003142.gencode.vH29	Capillary Aerocyte
O20_B003136.gencode.vH29	Capillary Aerocyte
O20_B003142.gencode.vH29	Capillary Aerocyte
O3_B003138.gencode.vH29	Capillary Aerocyte
O4_B002385.gencode.vH29	Capillary Aerocyte
O4_B003140.gencode.vH29	Capillary Aerocyte
O5_B003136.gencode.vH29	Capillary Aerocyte
O6_B003142.gencode.vH29	Capillary Aerocyte
O7_B002382.gencode.vH29	Capillary Aerocyte
O8_B002385.gencode.vH29	Capillary Aerocyte
O8_B003140.gencode.vH29	Capillary Aerocyte
P1_B002386.gencode.vH29	Capillary Aerocyte
P13_B003136.gencode.vH29	Capillary Aerocyte
P13_B003138.gencode.vH29	Capillary Aerocyte
P14_B002382.gencode.vH29	Capillary Aerocyte
P15_B003136.gencode.vH29	Capillary Aerocyte
P16_B002385.gencode.vH29	Capillary Aerocyte
P16_B003141.gencode.vH29	Capillary Aerocyte
P19_B003140.gencode.vH29	Capillary Aerocyte
P2_B003140.gencode.vH29	Capillary Aerocyte
P20_B002382.gencode.vH29	Capillary Aerocyte
P20_B002386.gencode.vH29	Capillary Aerocyte
P20_B003142.gencode.vH29	Capillary Aerocyte
P4_B003137.gencode.vH29	Capillary Aerocyte
P4_B003140.gencode.vH29	Capillary Aerocyte
P7_B003142.gencode.vH29	Capillary Aerocyte
P8_B003137.gencode.vH29	Capillary Aerocyte
A13_B002014.gencode.vH29	Basal
A4_B002014.gencode.vH29	Basal
A7_B003138.gencode.vH29	Basal
A9_B002383.gencode.vH29	Basal
A9_B003141.gencode.vH29	Basal
B10_B002385.gencode.vH29	Basal
B11_B003141.gencode.vH29	Basal
B12_B003136.gencode.vH29	Basal
B13_B002386.gencode.vH29	Basal
B4_B002382.gencode.vH29	Basal
B9_B003136.gencode.vH29	Basal
C10_B002383.gencode.vH29	Basal
C13_B002385.gencode.vH29	Basal
C13_B003140.gencode.vH29	Basal
C3_B003137.gencode.vH29	Basal
C7_B003136.gencode.vH29	Basal
C9_B003138.gencode.vH29	Basal
D10_B002383.gencode.vH29	Basal
D10_B003137.gencode.vH29	Basal
D2_B002382.gencode.vH29	Basal
D2_B003135.gencode.vH29	Basal
D4_B003141.gencode.vH29	Basal
D9_B002386.gencode.vH29	Basal
E1_B002382.gencode.vH29	Basal
E11_B002386.gencode.vH29	Basal
E2_B003140.gencode.vH29	Basal
E5_B003135.gencode.vH29	Basal
E7_B002014.gencode.vH29	Basal
F3_B003141.gencode.vH29	Basal
F4_B003142.gencode.vH29	Basal
F5_B003136.gencode.vH29	Basal
F7_B003135.gencode.vH29	Basal
G1_B003139.gencode.vH29	Basal
G10_B003139.gencode.vH29	Basal
G11_B002385.gencode.vH29	Basal
G2_B003141.gencode.vH29	Basal
G4_B003139.gencode.vH29	Basal
G6_B003141.gencode.vH29	Basal
H10_B003139.gencode.vH29	Basal
H12_B003140.gencode.vH29	Basal
H2_B002383.gencode.vH29	Basal
H2_B003142.gencode.vH29	Basal
I12_B002386.gencode.vH29	Basal
I13_B003141.gencode.vH29	Basal
I2_B002383.gencode.vH29	Basal
I8_B002014.gencode.vH29	Basal
J1_B002383.gencode.vH29	Basal
J10_B003135.gencode.vH29	Basal
J10_B003141.gencode.vH29	Basal
J11_B002386.gencode.vH29	Basal
J2_B003137.gencode.vH29	Basal
J3_B003138.gencode.vH29	Basal
J3_B003139.gencode.vH29	Basal
J6_B002385.gencode.vH29	Basal
J6_B003136.gencode.vH29	Basal
J9_B003141.gencode.vH29	Basal
K1_B002014.gencode.vH29	Basal
K12_B003141.gencode.vH29	Basal
K3_B003136.gencode.vH29	Basal
K4_B002385.gencode.vH29	Basal
L5_B002385.gencode.vH29	Basal
L6_B003137.gencode.vH29	Basal
L7_B003141.gencode.vH29	Basal
L9_B003141.gencode.vH29	Basal
M2_B002383.gencode.vH29	Basal
M8_B002385.gencode.vH29	Basal
M8_B003136.gencode.vH29	Basal
M8_B003139.gencode.vH29	Basal
M8_B003140.gencode.vH29	Basal
N1_B003139.gencode.vH29	Basal
N2_B003141.gencode.vH29	Basal
N3_B002382.gencode.vH29	Basal
N3_B003142.gencode.vH29	Basal
N5_B003140.gencode.vH29	Basal
N8_B003136.gencode.vH29	Basal
N9_B003142.gencode.vH29	Basal
O11_B002382.gencode.vH29	Basal
O11_B002385.gencode.vH29	Basal
O2_B002383.gencode.vH29	Basal
O3_B003140.gencode.vH29	Basal
O9_B003135.gencode.vH29	Basal
P11_B003141.gencode.vH29	Basal
P12_B003142.gencode.vH29	Basal
P3_B002385.gencode.vH29	Basal
P8_B002014.gencode.vH29	Basal
A14_B002014.gencode.vH29	Alveolar Fibroblast
A14_B002382.gencode.vH29	Myofibroblast
A14_B003138.gencode.vH29	Alveolar Fibroblast
A16_B002014.gencode.vH29	Alveolar Fibroblast
A17_B003135.gencode.vH29	Myofibroblast
A18_B002014.gencode.vH29	Alveolar Fibroblast
B14_B002386.gencode.vH29	Myofibroblast
B16_B002385.gencode.vH29	Myofibroblast
B16_B003141.gencode.vH29	Alveolar Fibroblast
B17_B002382.gencode.vH29	Alveolar Fibroblast
